id,artist,member,gender_group,group_type,appearance,position,vibe,relationship,url,source_url
txt-taehyun,TXT,TAEHYUN,male,boy_group,貓咪,Vocal,冷感|霸氣,神性|舞台支配感,https://www.youtube.com/results?search_query=TXT+Taehyun,https://kprofiles.com/txt-members-profile/
txt-hueningkai,TXT,HUENING KAI,male,boy_group,小鹿,Vocal|Visual,甜系|反差,朋友感|白月光感,https://www.youtube.com/results?search_query=TXT+Huening+Kai,https://kprofiles.com/txt-members-profile/
enhypen-jungwon,ENHYPEN,JUNGWON,male,boy_group,貓咪|小兔,Vocal|Dance|All-rounder,甜系|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=ENHYPEN+Jungwon,https://kprofiles.com/enhypen-members-profile/
enhypen-jay,ENHYPEN,JAY,male,boy_group,狐狸,Vocal|Dance|Rap,霸氣|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=ENHYPEN+Jay,https://kprofiles.com/enhypen-members-profile/
enhypen-jake,ENHYPEN,JAKE,male,boy_group,狗狗,Vocal|Visual,甜系|反差,戀愛感|朋友感,https://www.youtube.com/results?search_query=ENHYPEN+Jake,https://kprofiles.com/enhypen-members-profile/
enhypen-sunghoon,ENHYPEN,SUNGHOON,male,boy_group,小鹿|狐狸,Dance|Visual,清冷|冷感,神性|戀愛感,https://www.youtube.com/results?search_query=ENHYPEN+Sunghoon,https://kprofiles.com/enhypen-members-profile/
enhypen-sunoo,ENHYPEN,SUNOO,male,boy_group,狐狸|小兔,Vocal|Visual,甜系|反差,朋友感|白月光感,https://www.youtube.com/results?search_query=ENHYPEN+Sunoo,https://kprofiles.com/enhypen-members-profile/
enhypen-niki,ENHYPEN,NI-KI,male,boy_group,貓咪,Dance|Rap|All-rounder,冷感|霸氣,神性|舞台支配感,https://www.youtube.com/results?search_query=ENHYPEN+Ni-ki,https://kprofiles.com/enhypen-members-profile/
ateez-hongjoong,ATEEZ,HONGJOONG,male,boy_group,狐狸|貓咪,Rap|All-rounder,霸氣|反差,舞台支配感|神性,https://www.youtube.com/results?search_query=ATEEZ+Hongjoong,https://kprofiles.com/ateez-members-profile/
ateez-seonghwa,ATEEZ,SEONGHWA,male,boy_group,小鹿|貓咪,Vocal|Visual,清冷|反差,神性|戀愛感,https://www.youtube.com/results?search_query=ATEEZ+Seonghwa,https://kprofiles.com/ateez-members-profile/
ateez-yunho,ATEEZ,YUNHO,male,boy_group,狗狗,Dance|Vocal,甜系|霸氣|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=ATEEZ+Yunho,https://kprofiles.com/ateez-members-profile/
ateez-yeosang,ATEEZ,YEOSANG,male,boy_group,小鹿|狐狸,Vocal|Visual,清冷|冷感,神性|白月光感,https://www.youtube.com/results?search_query=ATEEZ+Yeosang,https://kprofiles.com/ateez-members-profile/
ateez-san,ATEEZ,SAN,male,boy_group,貓咪,Dance|Vocal|All-rounder,霸氣|反差,舞台支配感|戀愛感,https://www.youtube.com/results?search_query=ATEEZ+San,https://kprofiles.com/ateez-members-profile/
ateez-mingi,ATEEZ,MINGI,male,boy_group,狗狗|小鹿,Rap|Dance,霸氣|反差,舞台支配感|朋友感,https://www.youtube.com/results?search_query=ATEEZ+Mingi,https://kprofiles.com/ateez-members-profile/
ateez-wooyoung,ATEEZ,WOOYOUNG,male,boy_group,狐狸|貓咪,Dance|Vocal,霸氣|反差,舞台支配感|戀愛感,https://www.youtube.com/results?search_query=ATEEZ+Wooyoung,https://kprofiles.com/ateez-members-profile/
ateez-jongho,ATEEZ,JONGHO,male,boy_group,狗狗,Vocal,霸氣|反差,神性|舞台支配感,https://www.youtube.com/results?search_query=ATEEZ+Jongho,https://kprofiles.com/ateez-members-profile/
nct-taeyong,NCT,TAEYONG,male,boy_group,貓咪|狐狸,Rap|Dance|Visual|All-rounder,冷感|霸氣,舞台支配感|神性,https://www.youtube.com/results?search_query=NCT+Taeyong,https://kprofiles.com/nct-members-profile/
nct-doyoung,NCT,DOYOUNG,male,boy_group,小鹿,Vocal,清冷|反差,神性|白月光感,https://www.youtube.com/results?search_query=NCT+Doyoung,https://kprofiles.com/nct-members-profile/
nct-ten,NCT,TEN,male,boy_group,貓咪|狐狸,Dance|Vocal|All-rounder,冷感|霸氣|反差,舞台支配感|神性,https://www.youtube.com/results?search_query=NCT+Ten,https://kprofiles.com/nct-members-profile/
nct-jaehyun,NCT,JAEHYUN,male,boy_group,小鹿|狗狗,Vocal|Dance|Visual,清冷|甜系,戀愛感|神性,https://www.youtube.com/results?search_query=NCT+Jaehyun,https://kprofiles.com/nct-members-profile/
nct-jeno,NCT,JENO,male,boy_group,狗狗|小鹿,Rap|Dance|Visual,冷感|反差,戀愛感|舞台支配感,https://www.youtube.com/results?search_query=NCT+Jeno,https://kprofiles.com/nct-members-profile/
nct-haechan,NCT,HAECHAN,male,boy_group,小兔|狐狸,Vocal|Dance,甜系|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=NCT+Haechan,https://kprofiles.com/nct-members-profile/
nct-jaemin,NCT,JAEMIN,male,boy_group,小兔|小鹿,Rap|Dance|Visual,甜系|冷感,戀愛感|朋友感,https://www.youtube.com/results?search_query=NCT+Jaemin,https://kprofiles.com/nct-members-profile/
nct-renjun,NCT,RENJUN,male,boy_group,狐狸|小鹿,Vocal,清冷|反差,白月光感|神性,https://www.youtube.com/results?search_query=NCT+Renjun,https://kprofiles.com/nct-members-profile/
nct-jisung,NCT,JISUNG,male,boy_group,小鹿|小兔,Dance|Vocal,清冷|反差,白月光感|舞台支配感,https://www.youtube.com/results?search_query=NCT+Jisung,https://kprofiles.com/nct-members-profile/
riize-shotaro,RIIZE,SHOTARO,male,boy_group,小兔|狗狗,Dance|Rap,甜系|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=RIIZE+Shotaro,https://kprofiles.com/riize-members-profile/
riize-eunseok,RIIZE,EUNSEOK,male,boy_group,小鹿,Vocal|Visual,清冷|冷感,戀愛感|神性,https://www.youtube.com/results?search_query=RIIZE+Eunseok,https://kprofiles.com/riize-members-profile/
riize-sungchan,RIIZE,SUNGCHAN,male,boy_group,狗狗|小鹿,Rap|Visual,甜系|反差,朋友感|戀愛感,https://www.youtube.com/results?search_query=RIIZE+Sungchan,https://kprofiles.com/riize-members-profile/
riize-wonbin,RIIZE,WONBIN,male,boy_group,貓咪|狐狸,Vocal|Dance|Visual,冷感|清冷,戀愛感|神性,https://www.youtube.com/results?search_query=RIIZE+Wonbin,https://kprofiles.com/riize-members-profile/
riize-sohee,RIIZE,SOHEE,male,boy_group,小兔|狗狗,Vocal,甜系|反差,朋友感|白月光感,https://www.youtube.com/results?search_query=RIIZE+Sohee,https://kprofiles.com/riize-members-profile/
riize-anton,RIIZE,ANTON,male,boy_group,小鹿|狗狗,Vocal|Visual,清冷|甜系,白月光感|朋友感,https://www.youtube.com/results?search_query=RIIZE+Anton,https://kprofiles.com/riize-members-profile/
taeyeon-solo,Taeyeon,TAEYEON,solo,solo,小鹿,Vocal,清冷|霸氣,神性|戀愛感,https://www.youtube.com/results?search_query=Taeyeon,https://kprofiles.com/girls-generation-snsd-members-profile
chungha-solo,Chungha,CHUNGHA,solo,solo,貓咪|狐狸,Vocal|Dance|All-rounder,霸氣|反差,舞台支配感|神性,https://www.youtube.com/results?search_query=Chungha,https://kpopsingers.com/chungha-profile-bio-facts/
somi-solo,Jeon Somi,JEON SOMI,solo,solo,小鹿|狗狗,Vocal|Dance|All-rounder,甜系|霸氣|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=Jeon+Somi,https://kprofiles.com/jeon-somi-profile
hwasa-solo,Hwasa,HWASA,solo,solo,狐狸|貓咪,Vocal|Rap|All-rounder,霸氣|反差,戀愛感|舞台支配感,https://www.youtube.com/results?search_query=Hwasa,https://kprofiles.com/mamamoo-members-profile/
bibi-solo,BIBI,BIBI,solo,solo,貓咪,Vocal|Rap|All-rounder,冷感|霸氣|反差,戀愛感|神性,https://www.youtube.com/results?search_query=BIBI+kpop,https://kprofiles.com/bibi-profile-facts/
kwoneunbi-solo,Kwon Eunbi,KWON EUNBI,solo,solo,小鹿,Vocal|Dance|All-rounder,清冷|霸氣,戀愛感|舞台支配感,https://www.youtube.com/results?search_query=Kwon+Eunbi,https://kprofiles.com/kwon-eunbi-profile-facts/
joyuri-solo,Jo Yuri,JO YURI,solo,solo,小兔|小鹿,Vocal,甜系|清冷,白月光感|朋友感,https://www.youtube.com/results?search_query=Jo+Yuri,https://kprofiles.com/jo-yuri-profile-facts/
yena-solo,Choi Yena,CHOI YENA,solo,solo,小兔|狗狗,Vocal|Rap|Dance|All-rounder,甜系|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=Choi+Yena,https://kprofiles.com/yena-profile-facts/
taemin-solo,Taemin,TAEMIN,solo,solo,貓咪|小鹿,Vocal|Dance|All-rounder,清冷|霸氣,神性|舞台支配感,https://www.youtube.com/results?search_query=Taemin,https://kprofiles.com/taemin-shinee-profile-facts/
baekhyun-solo,Baekhyun,BAEKHYUN,solo,solo,狗狗|小兔,Vocal,甜系|反差,戀愛感|神性,https://www.youtube.com/results?search_query=Baekhyun+solo,https://kbizoom.com/exo-baekhyun-a-profile-2024-updated/
woodz-solo,WOODZ,WOODZ,solo,solo,狐狸|小鹿,Vocal|Rap|All-rounder,清冷|霸氣|反差,戀愛感|舞台支配感,https://www.youtube.com/results?search_query=WOODZ,https://kprofiles.com/woodz-profile-facts/
